data;zona;nome stazione;inquinante;valore
20/02/2025;Nord;via Pascal;C6H6;1.1
20/02/2025;Nord;via Pascal;NO2;34
20/02/2025;Nord;via Pascal;O3;63
20/02/2025;Nord;via Pascal;PM10;27
20/02/2025;Nord;via Pascal;PM25;18
20/02/2025;Nord;via Pascal;SO2;2.5
20/02/2025;Centro;viale Liguria;NO2;44
20/02/2025;Est;viale Marche;C6H6;1.4
20/02/2025;Est;viale Marche;CO_8h;0.5
20/02/2025;Est;viale Marche;NO2;53
20/02/2025;Est;viale Marche;PM10;37
20/02/2025;Est;viale Marche;PM25;22
20/02/2025;Sud-Ovest;via Senato;C6H6;1.4
20/02/2025;Sud-Ovest;via Senato;CO_8h;0.25
20/02/2025;Sud-Ovest;via Senato;NO2;33
20/02/2025;Sud-Ovest;via Senato;PM10;29
20/02/2025;Sud-Ovest;via Senato;PM25;21
20/02/2025;Centro;Verziere;NO2;47
20/02/2025;Centro;Verziere;O3;61
20/02/2025;Centro;Verziere;PM10;33
21/02/2025;Nord;via Pascal;C6H6;1.5
21/02/2025;Nord;via Pascal;NO2;74
21/02/2025;Nord;via Pascal;O3;49
21/02/2025;Nord;via Pascal;PM10;48
21/02/2025;Nord;via Pascal;PM25;35
21/02/2025;Nord;via Pascal;SO2;2.5
21/02/2025;Centro;viale Liguria;NO2;82
21/02/2025;Est;viale Marche;C6H6;1.6
21/02/2025;Est;viale Marche;CO_8h;0.8
21/02/2025;Est;viale Marche;NO2;63
21/02/2025;Est;viale Marche;PM10;61
21/02/2025;Est;viale Marche;PM25;40
21/02/2025;Sud-Ovest;via Senato;C6H6;2.2
21/02/2025;Sud-Ovest;via Senato;CO_8h;0.6
21/02/2025;Sud-Ovest;via Senato;NO2;55
21/02/2025;Sud-Ovest;via Senato;PM10;49
21/02/2025;Sud-Ovest;via Senato;PM25;39
21/02/2025;Centro;Verziere;NO2;72
21/02/2025;Centro;Verziere;O3;52
21/02/2025;Centro;Verziere;PM10;50
24/02/2025;Nord;via Pascal;C6H6;2.1
24/02/2025;Nord;via Pascal;NO2;59
24/02/2025;Nord;via Pascal;O3;36
24/02/2025;Nord;via Pascal;PM10;80
24/02/2025;Nord;via Pascal;PM25;61
24/02/2025;Nord;via Pascal;SO2;2.5
24/02/2025;Centro;viale Liguria;NO2;55
24/02/2025;Est;viale Marche;C6H6;2
24/02/2025;Est;viale Marche;CO_8h;0.9
24/02/2025;Est;viale Marche;NO2;49
